,event_name,event_date,event_location,event_price,event_details,geolocation
0,DwellFi PropTech and Web3 Event,"Thu, February 23, 2023, 5:30 PM – 8:30 PM PST","Celo 500 Treat Avenue San Francisco, CA 94110","Celo • San Francisco, CA","T﻿his event is focused on PropTech and Web3.Panel 1  PropTech and Web3 INVESTING Murray Newlands, Partner and at Investor OnePiece LabsLou Kerner, CryptoOracle CollectiveMitchell DiRaimondo, SteelWaveFannie Wang, UpHonest CapitalPanel 2  PropTech and Web3 Builders Murray Newlands, Partner and at Investor OnePiece LabsKumar Ujjwal, DwellFi Barry DiRaimondo, SteelWaveCharles Kanavel, NFCONikhil Raghuveera, Celo W﻿e are expecting 200 people. S﻿oft drink and light snacks will be provided. H﻿osted by DwellFi Topic include: PropTech, DEFI, MONEY, WEB3Our audience includes startups, investors, tech executives, and service providers. The Celo Foundation Code of ConductThe following behaviors are expected of all Celo Foundation (the “Foundation”) employees, contractors, board members, interns, affiliates, all guests and entities using the Foundation office(s) (including but not limited to San Francisco, New York, Berlin, etc.) or when hosting event(s) at the Foundation office(s) (hereinafter referred to “Foundation office”) or attending Foundation events offsite: Exercise consideration and respect in your speech and actions. Use welcoming and inclusive language at all times.Attempt collaboration before conflict.Refrain from demeaning, discriminatory, or harassing behavior, speech or writings.Be mindful of your surroundings and of your fellow participants. Alert others if you notice a dangerous situation, someone in distress, or violations of this Policy or the Celo Foundation Code of Conduct, even if it seems inconsequential.Remember that the Foundation offices and event venues may be shared and open to members of the public; please be respectful to all organizers and patrons of these locations; please also ensure any visitors to Foundation offices are respectful and adhere to the Code of Conduct while at the Foundation offices.We believe in an inclusive workplace even during events hosted at the Foundation offices or events that you attend on behalf of the Foundation..  As with our Code of Conduct, we expect that everyone attending the Foundation office will act in an appropriate manner, including harassment and violence free.  Such conduct will not be tolerated and is unacceptable in the Foundation office. The following behaviors are considered harassment and are unacceptable within our Foundation, the Foundation office and community.  Please note that this is not a comprehensive list, and in general, anything which could reasonably be considered inappropriate in a professional setting is unacceptable.Violence, threats of violence or violent language directed against another person.Sexist, racist, homophobic, transphobic, ableist or otherwise discriminatory jokes and language.Posting or displaying sexually explicit or violent material.Posting or threatening to post other people’s personally identifying information (“doxing”).Personal insults, including those related to gender, sexual orientation, race, religion, or disability.Inappropriate photography or recording, including any use of such photography or recording posted online (including social media).Inappropriate physical contact. You should always  have someone’s consent before touching them.Sexual attention, including sexualized comments or jokes; inappropriate touching, groping, and unwelcome sexual advances.Deliberate intimidation, stalking or following (online or in person).Advocating for, or encouraging, any of the above behavior.Sustained disruption of events, including receptions, talks and presentations.Sustained disruption of outside events, where you represent the Foundation or the community, including receptions, dinners, meetings, talks and presentations.Actions that you know may violate any State, Federal or local laws.",POINT (37.735286 -122.408126)
1,ABBA DANCING QUEEN DISCO NIGHT,"Sat, Feb 25, 2023, 10:00 PM – Sun, Feb 26, 2023, 1:30 AM PST","The Record Bar 163 Eddy Street San Francisco, CA 94102","The Record Bar • San Francisco, CA","ABBA DANCING QUEEN DISCO NIGHTA Disco dance party featuring the sounds of: ABBA, The Bee Gees, Donna Summer, Studio 54,  Paradise Garage, KC & The Sunshine Band, Giorgio Moroder, CHIC, Boney M, Village People, David Bowie, Roxy Music, Jackson 5, Prince, Cerrone, Lipps Inc, Earth, Wind & Fire, Sister Sledge, Chaka Khan, Marvin Gaye, Diana Ross, Sylvester, Divine, Queen, The Clash and more...Interactive retro Dance floor | Disco Ball | Lasers | LED visual retro projections | Outdoor Chill lounge | 14 Private VIP themed roomsOur featured DESIGNER for the night! Vile.Honey is a 24yr old San Francisco native fashion designer currently working in the industry as a product developer. She's a multi media designer that pattern makes, cut+sew, and screen prints. Her design focus is based on functionality and sustainability while being inspired by her surroundings. Most of her work is made from textiles that were previously going to landfill NO COVER 10pm-1:30am | 21+RecordBarSF http://www.recordbarsf.com163 Eddy Street San Francisco",POINT (37.784144 -122.410313)
2,The Unreal Garden - San Francisco,"Multiple Dates Sun, Feb 26, 2023, 6:00 PM PDT","Palace of Fine Arts 3601 Lyon Street San Francisco, CA 94123","Palace of Fine Arts • San Francisco, CA","This fall only, experience the hit immersive exhibit: The Unreal Garden: Enter The Metaverse at the world famous Palace of Fine Arts in San Francisco.Spend 30-60 minutes exploring a three act play where you star as the main character in the world’s first Holographic Theatre presented by Verse Immersive.The Unreal Garden: Enter The Metaverse is unlike anything you’ve seen before - be the first to tell your friends about the future of storytelling with cutting edge holographic headsets also used by NASA (No nausea!).No experience required, the perfect entertainment option for work parties, friends-night-out, date night, and creating unforgettable family memories.Ages 5 and up welcome. Please leave the furry friends at home.Walk-in tickets are available but they often sell out by 2pm so please book in advance.Are you imaginary? The Unreal Garden: Enter The Metaverse takes you on a journey through time and space guided by a butterfly who is convinced that you are a part of her imagination! Interact with the environment, feed the animals, collect all the crystals, and maybe if you’re lucky: you’ll find your way back home before you turn into a hologram!The Unreal Garden: Enter The Metaverse is perfect for first-time “Verse Walkers”. There is no experience required to enjoy the show, but you might not find everything the first time you play.Remember: Stay curious, look everywhere and touch everything!Check-in at the Verse Immersive kiosk in the front entrance to the Palace of Fine Arts and they’ll give you instructions for entering the Holographic Theatre.Wait, what is this?Somewhere between an interactive Alice in Wonderland and a stroll through the forests of Avatar, The Unreal Garden: Enter the Metaverse is an immersive augmented experience which puts you at the center of an engaging story. You’ll walk around wearing fully transparent headsets while you see and interact with visionary art and unbelievable creatures.Do I need to bring my own headset?Nope, we have you covered! Just bring yourself and your phone for selfies!How long does the experience take?Plan on spending between 30 and 60 minutes in The Unreal Garden.Can I transfer my tickets or get a refund?All Verse Immersive event tickets are non-refundable. If you are not able to make it to the event, feel free to give your ticket to a friend or family member.",POINT (37.80408 -122.448179)
3,No Scrubs: SF's Best '90s Hip Hop and R&B Night // SAN FRANCISCO,Multiple Dates PDT ,"Neck of the Woods 406 Clement Street San Francisco, CA 94118","Neck of the Woods • San Francisco, CA","One of SF's most popular weekly dance parties is finally back - on Clement Street!We're back at Neck of the Woods on Clement Street in the Inner Richmond! One of our favorite nightlife spots and an awesome venue that was totally remodeled in 2021 with a brand new sound system, dance floor and professional lighting. It's an awesome and wild place to spend a Saturday night! // EVERY SATURDAY AT 10:30PM // The '90s were the best. The fashion was uhh-mayy-zing, the slang was super dope, and the music was PHENOMENAL. From TLC, to the Fresh Prince, to Kid ‘N Play to Usher…the list goes on. Wear your dancing shoes to get your groove on to the best 90s Hip Hop and R&B tunes every Saturday. DJ  Beats Me will be spinning your favorite jams until the popo kick us out! NO SCRUBS ALLOWED!We're playin' your favorite throwback slappers from from Missy Elliot, Aaliyah, Destiny's Child, Montell Jordan, Brandy, Monica, Ludacris, Ja Rule and Ashanti and more! E﻿vent is 21+Event Photo: Andrew Ho PhotographyAll sales final.",POINT (37.7831255 -122.4637116)
4,45th Stanford Viennese Ball,"Sat, Feb 25, 2023, 8:30 PM – Sun, Feb 26, 2023, 2:00 AM PST","Hilton San Francisco Union Square 333 O'Farrell Street San Francisco, CA 94102","Hilton San Francisco Union Square • San Francisco, CA","Stanford Viennese Ball is an annual event modeled after the elegant balls in Vienna, Austria. For nearly a half-century, the ball has brought together dancers and non-dancers alike for a night of dancing, performances, and everlasting memories. This event is your chance to get dressed up, participate in a beloved Stanford tradition, and try out some dance moves - or just enjoy the show!The Stanford Viennese Ball was founded in 1978 by students who studied abroad in Vienna and brought home the vibrance and spirit of the Austrian ball season. These Viennese Balls traditionally begin with a lavish opening ceremony featuring honored dignitaries, costumed dancers, and handsomely-clad young couples performing an elegant, choreographed dance. Stanford's first Viennese Ball, held in Toyon Hall, was attended by 350 Stanford students. Since then, the ball has blossomed into a prestigious formal affair held at magnificent off-campus ballrooms. This year, the 45th Annual Viennese Ball will take place on February 25, 2023, in the Hilton San Francisco Union Square.Our event has sold out the last several years. Purchase tickets today to guarantee your spot! Early bird discounts will expire on Tuesday, 2/21/23 at 11:30 PM.For more details, please visit our website vienneseball.com!*All sales are final and no refunds or transfers can be processed for any reason other than an event cancellation by the University. ********* EVENT INFO ********Viennese Ball is first and foremost a time for celebration and merriment with friends. While the ball emphasizes social dance (think waltz, swing, salsa, and so on), you need not be an experienced dancer to have a good time. With performances, live music, contests, a photo booth, and more, there is always something to do for everyone. This is a Stanford tradition that most Stanford students attend at least once during their time at Stanford. Dancers from all around the Bay Area (and many who travel even further!) join us every year from various social dance communities for one of the foremost Viennese Balls to be held outside of Vienna!There will be one waltz room with a live orchestra (Saratoga Symphony), one swing room focused on Lindy Hop and other jazz styles with a live jazz band (Silver Bell Jazz Band), a contemporary room DJ'd by two Bay Area favorites in West Coast Swing and Fusion (Kathleen Sun and Ringo Sanchez), as well as a Latin styles room featuring Salsa, Bachata and more! An event schedule will be made available on our website to showcase events in each room at various parts of the night.The Ball will feature performances by the Opening Committee, Cardinal Ballet Company, Stanford Light Opera Company, Stanford Swingtime, Los Salseros de Stanford, Innovative Styles, Dancesport, Cardinal Swing, and The Academy of Danse Libre.DISCOUNTSWe are offering group discounts of 10% per ticket for groups of 15 or more active Stanford students. These discounts are only applicable for active Stanford students. Stanford students are able to arrange these groups themselves and don't need to organize based on club or housing, etc (though that is certainly an option). Please fill out this form if you would like a group discount code (https://forms.gle/wenq7f1hyFMjdA1N7). If you are requesting a group discount, do NOT purchase a ticket. We will be unable to refund you if you later get a discount.We are also in need of more photographers and videographers. We will be able to offer you a complimentary ticket in exchange for your services. This is open to both Stanford students and non-students alike. You must bring your own equipment. To apply for a media ticket, please fill out this form: https://forms.gle/HdqC2QobQLMxWF9J7 If you are requesting a media ticket, do NOT purchase a ticket. We will be unable to refund you if you later get a discount.FINANCIAL AIDIt is our strong belief that all Stanford students should be able to attend the Ball regardless of their financial situation. Many of us on the Steering Committee also benefit from financial aid and understand the financial barriers that an event like the Viennese Ball can pose. Therefore, we are pleased to be able to offer a limited number of financial aid tickets for Stanford students who need additional support to attend. Please fill out this form to request a financial aid ticket (we will have a rolling lottery): https://forms.gle/S4coK2z2wgWJ4one7If you receive a financial aid ticket and are unable to attend the Ball, please let us know so that another Stanford student in need can receive your ticket instead. If you are requesting financial aid, do NOT purchase a ticket. We will be unable to refund you if you later receive a financial aid ticket.THE B﻿ON BON BALL (2/3, 9PM for social dancing or 7PM for Bohemian National Polka Lesson)The Bon Bon Ball is a social dance celebration that kicks off three weeks of Austria Fortnight lessons leading up to the Viennese Ball. Come for social dance from 9pm-11:45pm, a performance by the Viennese Ball Opening Committee  at 10:30pm, and a complimentary lesson on the Bohemian National Polka from 7-9pm taught by Prof. Richard Powers (previous knowledge of basic waltz/polka required). Get your ticket today! Financial aid is available (see the Eventbrite link) https://www.eventbrite.com/e/bon-bon-ball-2023-tickets-520891730187FREE DANCE CLASSES (2/4 - 2/24, nightly on campus in the evening)We offer complimentary, beginner-friendly social dance classes on Stanford campus in the weeks before Viennese Ball to get you up to speed. These classes will offer a variety of styles, including waltz, swing, and more. Check our website (https://vienneseball.stanford.edu/austria-fortnight-classes/) for on-campus locations, times, and class topics as they are updated.SHUTTLE SERVICE (Departing at various times between 5:30-10:00pm from 439 Lagunita Drive, behind the Stanford Faculty Club at Tresidder Memorial Union. Return shuttles between 10:00pm-2:35am roughly every 5-30 minutes)To help cover the high cost of shuttle tickets to San Francisco, we are selling highly discounted round-trip shuttle tickets for $5. To buy a shuttle ticket, select your preferred shuttle time as an add-on when checking out. Please keep in mind that the Opening Ceremony starts at 8:30pm and the Honored Guest reception starts at 7:30pm, so choose a shuttle ticket time accordingly. Please show up 10 minutes before the bus leaves. Bus tickets are not refundable and only apply to the indicated shuttle pickup time on this ticket. To guarantee a spot on the shuttle at your desired return time after the event, please line up for the shuttle at least 10 minutes before it leaves. Once shuttles are full, we cannot accommodate more passengers. Please see vienneseball.com and our Facebook page for detailed shuttle pick-up and drop-off timetables (to be updated) and plan out your schedule for the night accordingly.PARKINGEvent self-parking is available for $37.50 per night at the Parc 55 parking structure behind the Hilton San Francisco Union Square. Limited street parking will be available and nearby parking structures may have parking (an updated list of parking options will be on our website soon). Taking the discounted shuttles, ridesharing, carpooling are recommended. If driving, please ensure adequate time for check-in at the event so that you do not miss the Opening Ceremony. Check-in lines can be long at peak times.COVID-19 SAFETYWe understand that attending an event of this size can be a concern due to the ongoing pandemic. We at the Viennese Ball Steering Committee are dedicated to the safety of all attendees, and therefore, we will have strict COVID-19 safety policies in place. Masking is required at all times at the Ball except when eating, drinking, or briefly for taking photos. We recommend wearing valveless face masks over the mouth and nose for the duration of the event. Masks that provide equivalent protection to a well-sealed KN-95 mask (e.g. a KF-94, N95, or p100) are recommended instead of surgical/cloth masks.Our policies align with the policies of the Stanford University social dance community. Additionally, if the University requires that the event be cancelled, all tickets will be refunded. Questions? Check out our FAQ.Take this opportunity to experience an evening that is magical and uniquely Stanford!****************************Please Note:All sales are final and no refunds or transfers can be processed for any reason other than an event cancellation by the University. This is a student-run event and we do not have the resources necessary to process the volume of refunds/special circumstances that often accompany on-campus events. Please be 100% sure about buying your ticket prior to purchasing it.All attendees will need to wear masks at all times.Please view the FAQ on our website (https://vienneseball.stanford.edu/faq/) for any other questions.We appreciate your support! See you at the 2023 Stanford Viennese Ball.Our banner features photo taken by Daniel Zhang.",POINT (37.7857343 -122.4104369)
5,Noise Pop 30 and Grey Goose Present HE.SHE.THEY. at Public Works,"Sat, Feb 25, 2023, 9:30 PM – Sun, Feb 26, 2023, 3:30 AM PST","Public Works 161 Erie Street San Francisco, CA 94103","Public Works • San Francisco, CA","Saturday, February 25th, 9:30pm - 3:30amFull Space / 21+  / Limited Capacity ━━━━━━━━━▲━━━━━━━━━Grey Goose and Noise Pop 30 PresentHE.SHE.THEY. at Public WorksChippy Nonstop, Sara Landry, UNIIQU3, rayreck.Chloé Robinson b2b DJ ADHDMain Room: Chippy Nonstop, Sara Landry, UNIIQU3, rayreck.Loft hosted by Pretty Weird: Chloé Robinson b2b DJ ADHD, Mesmé, ClearcastDancers A-Z: Kitty Komforts, Lil Bebe Cyborg, Nani Panther, Newoncé, Yucky, Yves Saint Croissant━━━━━━━━━▲━━━━━━━━━When you purchase tickets to this event you’ll automatically be signed up for LOCAL 161, our SMS community where you’ll get special invites + guest list + other perks as a thank you for your support. You’ll receive about 4 messages per month, message and data rates may apply, and you can text STOP to cancel at any time.",POINT (37.7688931 -122.4192651)
6,Battle of the Decades : 60s 70s 80s 90s Dance Party,"Multiple Dates Sat, Nov 25, 2023, 2:00 AM PDT","Monroe 473 Broadway San Francisco, CA 94133-4513","Monroe • San Francisco, CA","Monroe is a boutique venue inspired by 1960's Mod crossed over with Art Deco aesthetics known for its whimsical, high-octane events.Every Friday Fly down memory lane while sipping on the happiest drink prices in SF! The earlier you get there, the cheaper the drinks. Come experience some musical nostalgia with your best friends...Booth Reservations: Battle of the Decades is perfect for team outings, company happy hours, birthdays or any special occasion. If you will be arriving with a group of 10 or more you can qualify for a booth reservation. Submit your inquiry on our table reservations page at www.monroesf.com/table-reservations Drinks included in happy hour pricing: Well drinks with Rum, Vodka, Tequila, Whiskey, Gin, and Beers like PBR, Rolling Rock, Miller High Life and Bud Light.Monroe is a boutique venue inspired by 1960's Mod crossed over with Art Deco aesthetics.Our dance floor is rigged with co2  fog cannons and sound reactive lighting sculptures New upgraded indoor Club Sound system for 2022 throughout the venue to keep your body vibrating all night.*Complimentary* Coat Check DownstairsAll guests must be 21+ with Valid IDaddress: 473 Broadway Street San Franciscowebsite: www.monroesf.com Friday Operating Hours: 5pm-2am",POINT (37.791205 -122.40806)
7,World Ballet Series: Cinderella,"Fri, Feb 24, 2023, 7:00 PM PST","Palace of Fine Arts Theatre 3601 Lyon Street San Francisco, CA 94123","Palace of Fine Arts Theatre • San Francisco, CA","Welcome to the magical world of Cinderella, coming to your city! An enchanting story for all ages with a wonderful dose of humor, the majesty of classical ballet, and the promise of “happily ever after”.A part of the World Ballet Series, Cinderella is performed live by a multinational cast of 40 professional ballet dancers gathered to bring the most celebrated fairy tale to life.  A visually stunning production accompanied by Sergei Prokofiev’s passionate celebrated score, over 150 hand-sewn radiant costumes, richly detailed hand-crafted sets, and sparkling choreography by Marina Kessler. But don’t forget - when the clock strikes midnight…N﻿ote: Tickets are non-refandable. All sales are final.",POINT (37.80408 -122.448179)
8,Mellow Sessions @Haight,"Multiple Dates Sat, Jun 24, 2023, 10:30 PM PDT","The Mellow Haight 1401 Haight Street San Francisco, CA 94117","The Mellow Haight • San Francisco, CA","You'll arrive at a magical space called The Mellow Haight, a houseplant store by day and a private venue by night. Early birds: Arrive 15min prior, to grab a good seat and for the concert to begin promptly. Before that time we can't allow anyone inside.We offer performers a space that acts as the in-between of a concert hall and a bar - where folks actively feel and listen to the music. The audience is encouraged to interact with the performers directly, discuss the compositions, ask questions, and fall in love with live music. - NOTE: Guests are welcome to BYOB  - Please practice ""pack in, pack out"" and take ALL trash with you. Plan to bring cups, wine cork, etc as these items are not available on-site. Anyone drinking alcohol must be 21yrs+ Mellow Sessions is the next step in a journey of curating and producing unique concerts in intimate settings for the past 3 years. Produced by local musicians and composers, these sessions will feature original music and arrangements by the best musicians, DJs, and composers of the Bay Area, as well as touring artists. Always new artists, always a surprise!The venue is located in the upper Haight (corner of Masonic & Haight). Upper Haight is a historic and deeply-rooted neighborhood with ties dating back to experimental music, rock, jazz, blues during the '60s and a counter-cultural revolution that eventually took over the US. and the world.At The Mellow Haight, we'll be surrounded by lush plants, greenery, and a laid-back vibe. All the right elements to stimulate our minds and engage in active listening, interaction, and enjoyment!Accessibility: The Mellow Haight has a bathroom for guests to use and it is located upstairs. Guests with accessibility needs, please contact us 48hrs in advance.See you soon! ✌🏼 🚨 What can I bring to the event? 🚨Can I purchase plants and other items?Yes! During intermission, you can purchase anything your heart desires. Best of all, you get 15% off everything in-store during this event.Is this event indoors?Yes, indoors 100%. The concert takes place inside The Mellow SF. What's the seating situation like?Seating is communal on a first-come basis. If you arrive late, you may end up standing until there's a break and you can find open seating. ☝🏼What time does the music start?The concert will start on time at 8:30 pm - unless we have more than 50% of our guests running late. Is there food or drinks?There are soft drinks available for purchase. We allow you to bring your own snacks & drinks. Remember to bring everything you will need such as wine openers, cups, trash bags, etc.Is there free parking?There's street parking available and there's also a private parking lot at the end of Haight St. Can I bring my dog?Sorry, we don't have a lot of space to accommodate our furry best friends. The store is pet-friendly during business hours.Do I have to bring my printed ticket to the event?You don't. Just bring your cellphone to show us your QR code or e-ticketsIs my registration fee or ticket transferrable?Absolutely! Just let us know well ahead of time. (Check our refund and transfer policy)Is it ok if the name on my ticket or registration doesn't match the person who attends?Yes, 100% ok -  we check for codes used previously.Can I contact the organizer with any questions?You can reach out to us with any Q's you couldn't find here  :)",POINT (37.77021 -122.445345)
9,SF's Winterfest Beer & Comedy Festival 2023 at Speakeasy Brewery,Multiple Dates PDT ,"Speakeasy Ales & Lagers 1195 Evans Avenue San Francisco, CA 94124","Speakeasy Ales & Lagers • San Francisco, CA","Speakeasy Ales & Lagers has been defiantly brewing small batches of beer in San Francisco’s Bayview-Hunters Point neighborhood since 1997.C﻿ome celebrate this legacy with a special month-long pop-up comedy festival every Friday night.For the winter months, we move indoors to a speakeasy comedy stage, food pop-ups, an exclusive lineup of beers.These are the freshest pints you can get in San Francisco since they're right from the brewery's taps.FRIDAY NIGHTSIT’S HAPPY FRIDAY EVERYONE 🍻🎉 What's better than a happy hour? A Happy FriDAY! At Speakeasy we are bringing you the best promo on the best day of the week with your favorite craft beers!WHAT'S ON TAP?Dr Hops Real Hard Kombucha Each week is a new handpicked lineup of top local comics (along with some visiting special guests) who regularly perform at clubs like Cobb's, Punch Line, shows like Crazy Funny Asians, HellaFunny Live at Thrive City or have performed at festivals like SF Sketchfest, Clusterfest or Outside Lands.VIP ""SHOUT OUT"" OPTION - Want to wish someone an unforgettable happy birthday? Want one of the comics to say hi to your date? Or want to feel the burn and have a comic roast someone in your group? One of our comics will give you a special shout out from the stage. Limited to maximum of 2 per show.Enjoy some of the freshest beers in San Francisco, since they come right from the Brewery's own taps. Plus we'll have some rare seasonal beers that are difficult to find anywhere else.  (Beer choice subject to availability). The taproom opens at 3pm for those looking for a head startLive Draft BeerWhat we currently have pouring from the Taps and the cans of those beers in our ""Medicine Cabinet"".Metropolis Lager	-	Lager	-	5.5%	 ABV / 	Generously dry-hopped with a blend of American Mosaic and German Saphir hops, Metropolis is a crisp & refreshing lager with a tropical fruit aroma and clean, dry finish.The Points Black Lager	-	Czeck Black Lager	-	5.5%	 ABV / 	Big Daddy IPA	-	India Pale Ale (IPA)	-	6.5%	 ABV / 	Big Daddy IPA is a balanced West Coast IPA with bright floral, piney aromas and a citrusy, crisp finish.Sadie Stout	-	Stout	-	7%	 ABV / 	Named after the Head Brewers Dog, Sadie. Mystic Haze	-	Hazy IPA	-	7.1%	 ABV / 	A Hazy IPA that exudes pear and red apple in the nose with a hint of grapefruit and herbal dankness. Dry hopped with Bravo and Calypso hops. Hops: Apollo, Bravo, Calypso Malt: Pilsner, Wheat, Flaked Oats, Flaked RyeTown & City	-	Hazy Double IPA	-	8%	 ABV / 	Dank Hazy West Coast IPA collab with Hella CoastalBus Hop 	-	West Coast IPA	-	7.9%	 ABV / 	This is Hunters Point Brewery's first West Coast IPA, and it doesn't disappoint with big Orange Esters and a bold body to back up the Simcoe & Amarillo Hops. It's so good, you will be bus hoppin to look for more!Prohibition	-	Amber Ale	-	6.1%	 ABV / 	Prohibition strikes a perfect balance between malts and hops, with its roasted caramel notes and dry, clean finish. GABF 2013 Gold Medal Winner in the Amber/Red Ale category.Blind Tiger	-	Triple IPA	-	10.3%	 ABV / 	Aggressively hopped with an array of West Coast hops, Blind Tiger explodes with citrus flavors of citrus peel & grapefruit. Its bold hopping carries a resinous bite and a clean, dry finish.Syndicate Office	-	Stout	-	10%	 ABV / 	The Syndicate Series is over, but not forgotten. With Flaked Rye and Barley, Crisp Chocolate Malt and Roasted Barley for that sweet, bitter flavor, this beer was made for the downtime in our office. Cheers to the SyndicateSyndicate No.5	-	Barrel Aged Stout	-	10.5%	 ABV / 	A stout blend series that ran from 2013-2018. Each bottle consists of 4 or more of our popular ales and barrel aged stouts. But only the real fans know, we didn’t stop at 4. There was a 5th in 2019 that didn't get bottled. And our taproom happens to have the one and only keg. T﻿he brewery is located at 1195 Evans Ave. in the Bayview in San Francisco. Muni is super easy, with the 15, 19, 44 and 54 all stopping close by. If you're taking BART, then hop on thee T-Third Metro which will drop you off at Third & Evans, just a few minutes walk. Parking is typically fairly easy in this neighborhood compared to the rest of San Francisco. And uber/Lyft and taxis are always a great option.Muni: The easiest way to Muni is to  take the T Line that comes to 3rd St, transfer to the 44 bus on Evans Ave, and hop off on Keith St.P﻿arking: There is public street parking on Keith St and Fairfax Ave.The brewery started with a single iconic beer, still made today, called Prohibition Ale. The hoppy amber beer embodies the spirit of bootleggers and gangsters who persevered when America’s taps ran dry. The brewery quickly gained a loyal following with bold, complex beers, and striking 1920s imagery. In 1999, Big Daddy IPA was added to the lineup and became San Francisco’s best-selling IPA. The beer is still Speakeasy’s kingpin, representing 40% of the brewery’s sales, among a wide array of acclaimed beers, from session ales to bourbon barrel-aged imperial stouts.During the early years, Speakeasy would open the brewery to family, friends, and beer lovers on legendary Friday nights. Fresh beer flowed from the cold box and live music filled the air. But as the brewery grew, the party space dwindled, and the Speakeasy Taproom opened in 2013. It now serves thousands of thirsty followers, who can step back in time and relax with a beer, or dip into the medicine cabinet and grab a six-pack to go.The brewery’s humble beginnings delivering hand-filled kegs out of the back of a van are long gone. Speakeasy now works with more than twenty distributors across the West Coast and throughout the United States. The brewery’s original fifteen-barrel brewing system was also replaced in 2015 during a major expansion, which included a sixty barrel brewhouse, centrifuge, malt handling system, canning line, and an additional 1,200 barrels of fermentation capacity.Is proof of vaccination or masks required? No. Currently the San Francisco health guidelines do not require vaccines or masks at indoor venues. If you are not feeling well, however, we recommend you stay at home.What time do doors open? Doors open at 7pm with the show starting around 8pm.Do the shows start on time? Pretty close! We try to start each show within 10-15 minutes of the start time. So arrive early if you can! We want you to have a great time!How late do the shows run? The show is scheduled to run until 9:30p to 9:45p, giving you enough time to easily get home via BART or MuniIs the event 21+? Yes. Due to licensing restrictions the event is 21+ only.A﻿re dogs allowed? Yes! Well-behaved pooches are welcome both inside the taproom and outsideWhat If i can no longer make it?  We know that sometimes plans change, and want to be as flexible as possible.As long as you let us know at least 1 hour before the show we are happy to issue you a credit towards tickets to a future comedy show of your choice (for any show Funcheap hosts on Eventbrite at any of our venues) good for up to 1 year.",POINT (37.738675 -122.380997)
